,E1,E2,C1,C2,A1,A2,A3,OR
011303,53,75,97,0,128,128,127,0
011307,53,75,97,0,128,128,128,0
011309,53,75,97,0,128,128,125,0
011312,53,75,97,0,128,128,125,0
031301,60,65,77,0,125,125,126,0
031307,60,65,77,0,125,125,124,0
031309,60,65,77,0,125,125,128,0
031312,60,65,77,0,125,125,126,0
071301,66,58,88,0,124,124,127,0
071303,66,58,88,0,124,124,124,0
071309,66,58,88,0,124,124,129,0
071312,66,58,88,0,124,124,123,0
091301,66,61,83,0,127,127,127,0
091303,66,61,83,0,127,127,126,0
091307,66,61,83,0,127,127,126,0
091312,66,61,83,0,127,127,124,0
121301,63,70,88,0,133,133,131,0
121303,63,70,88,0,133,133,133,0
121307,63,70,88,0,133,133,132,0
121309,63,70,88,0,133,133,132,0
