,E1,E2,C1,C2,A1,A2,A3,OR
021305,70,66,91,0,136,136,134,0
021306,70,66,91,0,136,136,132,0
021308,70,66,91,0,136,136,133,0
021311,70,66,91,0,136,136,133,0
051302,61,70,87,0,131,131,128,0
051306,61,70,87,0,131,131,130,0
051308,61,70,87,0,131,131,129,0
051311,61,70,87,0,131,131,130,0
061302,80,53,100,0,133,133,130,0
061305,80,53,100,0,133,133,131,0
061308,80,53,100,0,133,133,130,0
061311,80,53,100,0,133,133,131,0
081302,78,68,76,0,146,146,141,0
081305,78,68,76,0,146,146,145,0
081306,78,68,76,0,146,146,145,0
081311,78,68,76,0,146,146,148,0
111302,78,64,50,0,142,142,138,0
111305,78,64,50,0,142,142,139,0
111306,78,64,50,0,142,142,140,0
111308,78,64,50,0,142,142,137,0
